class,logits1,logits2,name,path,prob,sum_squares
cat,102.53992462158203,-100.26697540283203,cat.0.jpg,../train\cat.0.jpg,0.0,20567.90234375
cat,155.83616638183594,-152.017578125,cat.1.jpg,../train\cat.1.jpg,0.0,47394.25390625
cat,195.6472930908203,-192.47747802734375,cat.10.jpg,../train\cat.10.jpg,0.0,75325.4375
cat,220.4113311767578,-219.489990234375,cat.100.jpg,../train\cat.100.jpg,0.0,96757.015625
cat,139.47760009765625,-139.83790588378906,cat.1000.jpg,../train\cat.1000.jpg,0.0,39008.640625
cat,241.30833435058594,-237.86798095703125,cat.10000.jpg,../train\cat.10000.jpg,0.0,114810.890625
cat,224.66253662109375,-216.90087890625,cat.10001.jpg,../train\cat.10001.jpg,0.0,97519.25
cat,156.49639892578125,-155.12518310546875,cat.10002.jpg,../train\cat.10002.jpg,0.0,48554.9453125
cat,157.8597869873047,-151.20787048339844,cat.10003.jpg,../train\cat.10003.jpg,0.0,47783.53125
cat,146.34510803222656,-144.27064514160156,cat.10004.jpg,../train\cat.10004.jpg,0.0,42230.91015625
cat,67.39961242675781,-65.3291244506836,cat.10005.jpg,../train\cat.10005.jpg,0.0,8810.6015625
cat,175.0461883544922,-170.63986206054688,cat.10006.jpg,../train\cat.10006.jpg,0.0,59759.1328125
cat,244.6724395751953,-244.5560302734375,cat.10007.jpg,../train\cat.10007.jpg,0.0,119672.25
cat,95.8160400390625,-89.18727111816406,cat.10008.jpg,../train\cat.10008.jpg,0.0,17135.08203125
cat,172.45262145996094,-169.43948364257812,cat.10009.jpg,../train\cat.10009.jpg,0.0,58449.64453125
cat,89.07670593261719,-84.18814086914062,cat.1001.jpg,../train\cat.1001.jpg,0.0,15022.302734375
cat,80.2485122680664,-76.26368713378906,cat.10010.jpg,../train\cat.10010.jpg,0.0,12255.9736328125
cat,54.698646545410156,-55.45361328125,cat.10011.jpg,../train\cat.10011.jpg,0.0,6067.044921875
cat,192.98150634765625,-189.4113006591797,cat.10012.jpg,../train\cat.10012.jpg,0.0,73118.5
cat,70.0580825805664,-71.36516571044922,cat.10013.jpg,../train\cat.10013.jpg,0.0,10001.12109375
cat,102.38032531738281,-100.04280090332031,cat.10014.jpg,../train\cat.10014.jpg,0.0,20490.29296875
cat,96.32807159423828,-94.20812225341797,cat.10015.jpg,../train\cat.10015.jpg,0.0,18154.267578125
cat,154.66741943359375,-150.32177734375,cat.10016.jpg,../train\cat.10016.jpg,0.0,46518.6484375
cat,74.70714569091797,-72.81453704833984,cat.10017.jpg,../train\cat.10017.jpg,0.0,10883.115234375
cat,89.94385528564453,-88.82003784179688,cat.10018.jpg,../train\cat.10018.jpg,0.0,15978.896484375
